short_size,long_size,taken,skipped,net_pnl_rs,final_equity,roi_pct,max_concurrent,min_cash,pf_rs,short_pnl_taken_rs,long_pnl_taken_rs
100000,210000,23207,657,41162438.47206367,42162438.47206367,4116.243847206367,152,1613.7825291270856,2.7956403746331837,9139162.398001261,32023276.07406172
90000,210000,23246,618,40250848.17037776,41250848.17037776,4025.084817037776,152,2382.3943705389975,2.8212087692221473,8224476.836741166,32026371.33363704
100000,200000,23207,657,39658860.86550181,40658860.86550181,3965.8860865501815,152,0.0,2.7838895626587115,9175763.501280434,30483097.36422174
80000,210000,23291,573,39354767.60013347,40354767.60013347,3935.4767600133473,152,1508.5233480148017,2.8512582885624784,7301602.924237264,32053164.67589505
90000,200000,23245,619,38720800.16499491,39720800.16499491,3872.080016499491,152,0.0,2.8076529264908534,8234735.28088669,30486064.884109814
70000,210000,23323,541,38470810.92163094,39470810.92163094,3847.081092163094,152,20.66792960825842,2.887992356162393,6430715.121419495,32040095.800211698
100000,190000,23234,630,38292304.700613916,39292304.700613916,3829.2304700613918,152,977.712450493651,2.774265104000107,9181875.649167884,29110429.051445495
80000,200000,23282,582,37816180.47497802,38816180.47497802,3781.618047497802,152,0.0,2.8395675979708073,7309959.315196775,30506221.159781273
60000,210000,23377,487,37569984.98392964,38569984.98392964,3756.9984983929644,152,15.7343212463893,2.9260982094097026,5530830.894011572,32039154.08991756
90000,190000,23260,604,37252564.028227635,38252564.028227635,3725.256402822763,152,975.1445626828354,2.7948870040052918,8249239.913101818,29003324.115126535
70000,200000,23327,537,36920315.731838055,37920315.731838055,3692.031573183805,152,0.0,2.873457296134696,6436209.754911698,30484105.976927813
100000,180000,23229,635,36746621.25840096,37746621.25840096,3674.6621258400965,152,337.4668919329997,2.758614451521065,9178029.190240704,27568592.0681601
50000,210000,23404,460,36494814.56814964,37494814.56814964,3649.481456814964,152,853.0657571883057,2.9557463612167787,4589946.470669783,31904868.097480737
80000,190000,23302,562,36361269.019733414,37361269.019733414,3636.1269019733413,152,540.4973070146516,2.824731424491817,7310590.070725001,29050678.949007545
