s,l,taken,skipped,pnl,roi,pf,min_cash,max_conc
200000,500000,22801,1063,92853908.7899909,9285.39087899909,2.860145863361879,0.0,152
190000,500000,22885,979,92362896.6416172,9236.289664161719,2.8774374234492206,0.0,152
180000,500000,22915,949,91536771.34743072,9153.677134743071,2.890322525412488,0.0,152
170000,500000,22940,924,90593308.95585665,9059.330895585666,2.9043625460579117,0.0,152
200000,480000,22837,1027,90115761.08800086,9011.576108800087,2.8499592768172426,1129.1324284293223,152
160000,500000,22909,955,89405567.17292967,8940.556717292968,2.916343293053117,0.0,152
190000,480000,22883,981,89352232.62908076,8935.223262908075,2.864481056944298,90.05934115685523,152
150000,500000,22960,904,88610108.84915283,8861.010884915284,2.9315449023368854,0.0,152
180000,480000,22896,968,88403814.44265755,8840.381444265755,2.875222046051021,1240.397037514951,152
140000,500000,22955,909,87572181.2180706,8757.21812180706,2.945898883424856,0.0,152
170000,480000,22876,988,87323120.8015188,8732.31208015188,2.8920932288901433,1173.0085065159947,152
200000,460000,22822,1042,87082530.09981947,8708.253009981947,2.83864964012466,97.96862896066159,152
130000,500000,22964,900,86606353.41713676,8660.635341713676,2.964054569831601,0.0,152
160000,480000,22900,964,86398656.01280344,8639.865601280342,2.9058665084654454,909.6036352342926,152
120000,500000,23093,771,86264783.31913128,8626.478331913127,2.982184336757262,0.0,152
190000,460000,22840,1024,86187648.77869172,8618.764877869173,2.8504508183586923,864.2367662494071,152
150000,480000,22965,899,85715682.1890324,8571.568218903241,2.9219938237866487,2053.838948940509,152
180000,460000,22864,1000,85236758.07376818,8523.675807376818,2.864489227357586,224.69995385571383,152
110000,500000,23095,769,85211636.12150443,8521.163612150443,3.0019003401394944,0.0,152
140000,480000,23000,864,84915599.43650419,8491.559943650418,2.9406676405849144,181.3061173434835,152
170000,460000,22908,956,84531661.71183632,8453.166171183631,2.8799566612300143,607.7314759391593,152
100000,500000,23130,734,84374577.9875167,8437.45779875167,3.0220914445837623,0.0,152
200000,440000,22831,1033,84213157.68958987,8421.315768958988,2.8269080939077993,582.3474024368916,152
130000,480000,23022,842,83925586.76064518,8392.558676064518,2.9538729567864745,554.361388679361,152
160000,460000,22928,936,83593179.1019982,8359.31791019982,2.893783869003587,315.9640058930963,152
90000,500000,23167,697,83553039.19384322,8355.303919384321,3.039449962969141,0.0,152
190000,440000,22864,1000,83403297.74192421,8340.32977419242,2.8428868001867356,1303.7944188620895,152
120000,480000,23083,781,83167446.06544594,8316.744606544595,2.970814184543992,998.4476952026598,152
150000,460000,22952,912,82668955.50841118,8266.895550841118,2.9114476429708174,1339.0149742662907,152
80000,500000,23190,674,82600561.07947993,8260.056107947994,3.057325187527428,0.0,152
110000,480000,23105,759,82264082.49644388,8226.408249644388,2.991168954366754,286.4778829594143,152
180000,440000,22838,1026,82241184.26014547,8224.118426014547,2.851194710980809,441.3273760485463,152
140000,460000,22957,907,81682761.60139735,8168.276160139734,2.9256217474751818,2922.288323499728,152
70000,500000,23187,677,81574563.88594273,8157.4563885942725,3.0842949897888547,0.0,152
170000,440000,22883,981,81416760.87675315,8141.676087675314,2.8684998028512094,1646.2256318354048,152
100000,480000,23147,717,81355619.39770073,8135.561939770072,3.009417301907841,792.7305366850924,152
200000,420000,22824,1040,81182483.02097307,8118.248302097307,2.8127985173774874,50.729053975548595,152
130000,460000,23076,788,81157036.94567972,8115.703694567972,2.9413173079679087,342.99710653256625,152
160000,440000,22929,935,80672525.75223786,8067.252575223786,2.886015003845211,1710.6482544820756,152
60000,500000,23200,664,80535882.95051202,8053.588295051202,3.1078221657963443,0.0,152
90000,480000,23151,713,80504622.38699532,8050.4622386995325,3.032115359078248,252.46960610081442,152
190000,420000,22844,1020,80356701.58956335,8035.670158956335,2.8285679312603307,46.611829889938235,152
120000,460000,23105,759,80194124.93958956,8019.412493958956,2.9569504954596493,1455.2695299396291,152
50000,500000,23293,571,79945504.35261333,7994.5504352613325,3.1267636250399473,0.0,152
150000,440000,22943,921,79736207.4054677,7973.620740546771,2.9015238162640777,126.50941683771089,152
80000,480000,23196,668,79547490.9349821,7954.749093498211,3.0470261931792972,1449.1398675248493,152
180000,420000,22867,997,79415501.5931682,7941.55015931682,2.842935961209086,3125.598156727385,152
110000,460000,23122,742,79282125.33439025,7928.212533439026,2.9782897780949384,1632.3204581993632,152
