s,l,pnl,roi,pf,taken,skipped,min_cash,max_conc
200000,400000,37169130.85098766,3716.913085098766,6.880505120112018,6580,17284,0.0,6
200000,480000,37065995.40803391,3706.5995408033905,7.06483559515207,6100,17764,0.0,6
190000,400000,36826456.95614212,3682.6456956142115,6.8589012751429435,6709,17155,211.29419813747518,6
160000,420000,36592915.230061896,3659.29152300619,6.875652551240875,7059,16805,0.0,7
200000,500000,36591988.69343797,3659.198869343797,6.955100927464984,6051,17813,0.0,6
190000,480000,36527242.824865334,3652.7242824865334,7.008396783843114,6203,17661,239.7134472297039,6
180000,480000,36392572.98001178,3639.2572980011787,7.025925699971124,6307,17557,152.62793396622874,6
180000,400000,36343092.02377188,3634.3092023771883,6.871280317322213,6755,17109,30.506166477920488,7
190000,500000,36243229.31261702,3624.322931261702,6.933923695737133,6158,17706,0.0,6
200000,380000,36234549.85986399,3623.454985986399,6.799723486761247,6660,17204,0.0,6
180000,500000,35926326.56413747,3592.6326564137476,6.995224771330305,6219,17645,0.0,7
200000,460000,35922916.77092332,3592.2916770923316,6.954294394129546,6106,17758,0.0,6
190000,380000,35790714.90765928,3579.071490765928,6.791868166301509,6734,17130,352.47840539668687,6
150000,420000,35672924.732272245,3567.2924732272245,6.798917708288075,7193,16671,266.9281081900699,8
160000,400000,35645886.6550196,3564.5886655019603,6.825942230801469,7131,16733,49.56422403152101,7
170000,400000,35585516.72020514,3558.551672020514,6.7695449637778555,6835,17029,25.905454675201327,7
190000,460000,35528786.096466206,3552.8786096466206,6.837971799906979,6251,17613,76.31279554590583,6
180000,380000,35524282.631004214,3552.428263100421,6.881111699775272,6772,17092,282.5012783810962,6
200000,440000,35274830.777349226,3527.4830777349225,6.8870684678742276,6156,17708,0.0,6
200000,320000,35268496.05481003,3526.849605481003,6.7509943351826305,6947,16917,0.0,6
170000,500000,35237956.786642835,3523.7956786642835,6.8503690696142145,6346,17518,0.0,8
190000,320000,35226116.726866536,3522.6116726866535,6.800195066232487,7029,16835,35.56209207640495,6
200000,360000,35215018.75863578,3521.501875863578,6.752479646494929,6692,17172,0.0,6
180000,320000,35125569.03729636,3512.5569037296364,6.7064230109518395,7173,16691,0.0,6
170000,460000,35080705.0912267,3508.0705091226696,6.613693069047675,6608,17256,359.94834496616386,7
200000,420000,35071912.77338954,3507.191277338954,6.880439171850494,6237,17627,0.0,6
170000,480000,35044998.13925795,3504.4998139257955,6.572978225636529,6561,17303,461.18974380590953,7
120000,440000,34946866.6246922,3494.6866624692198,6.521195482728862,7942,15922,0.0,10
140000,420000,34904142.440869905,3490.4142440869905,6.552106131322114,7598,16266,37.690475618466735,9
150000,380000,34885151.21004949,3488.5151210049485,6.610226743201163,7434,16430,156.63506023259833,8
180000,440000,34852750.92703679,3485.2750927036795,6.664227155861619,6529,17335,563.5935019135941,6
150000,400000,34840684.49259804,3484.0684492598043,6.5525247606662385,7318,16546,0.0,8
170000,380000,34835059.86857809,3483.505986857809,6.7255515808221045,6870,16994,97.32313660043292,7
160000,500000,34784598.35076985,3478.4598350769847,6.5410087319585,6810,17054,0.0,7
150000,480000,34769456.521945596,3476.9456521945594,6.722914605505475,6936,16928,39.96364695800003,8
160000,480000,34723350.55127187,3472.335055127187,6.612178652250606,6847,17017,178.8479872380849,7
160000,380000,34691842.26610678,3469.1842266106773,6.644076085130788,7200,16664,125.79816047206987,8
190000,440000,34687105.643218964,3468.7105643218965,6.679201988950853,6315,17549,30.510135439573787,6
190000,360000,34672488.24326469,3467.248824326469,6.700895520275554,6778,17086,260.02600576379336,6
190000,420000,34655982.929169066,3465.5982929169063,6.617875785084868,6512,17352,378.6502191494219,6
180000,420000,34654390.21105872,3465.4390211058717,6.628580311435369,6576,17288,82.4466308336705,6
170000,440000,34612309.25844009,3461.230925844009,6.64131915098398,6629,17235,53.314499628846534,7
130000,420000,34610987.42552113,3461.098742552113,6.625973667940335,7713,16151,8.34199602715671,9
180000,460000,34555266.76479446,3455.526676479446,6.538901111281292,6472,17392,0.0,7
160000,460000,34503121.01253951,3450.312101253952,6.6601676453017244,6880,16984,266.8846309748478,7
140000,400000,34492757.63973635,3449.2757639736346,6.534848156838684,7634,16230,196.78205491998233,9
170000,320000,34487551.95351872,3448.755195351872,6.422616295013492,7350,16514,0.0,7
180000,360000,34480992.911479786,3448.099291147979,6.706814705302292,6825,17039,275.1234313963214,7
160000,360000,34434435.52337813,3443.443552337813,6.550661415929913,7384,16480,0.0,8
160000,320000,34414744.00009446,3441.474400009446,6.4066898090712625,7644,16220,158.13539872411638,7
130000,400000,34253775.81035316,3425.3775810353163,6.637864622475741,7772,16092,103.96424402314005,9
200000,300000,34229876.239527516,3422.987623952751,6.385023870507676,7080,16784,0.0,6
160000,440000,34216084.64149651,3421.608464149651,6.599751977514007,6894,16970,126.13815961405635,7
170000,420000,34195820.67774955,3419.5820677749552,6.5589417428057315,6672,17192,201.40282860258594,7
150000,360000,34185060.62966312,3418.506062966312,6.560120331390152,7506,16358,111.65535703697242,8
140000,380000,34133449.95678143,3413.3449956781433,6.562283061462971,7718,16146,159.68388264148962,9
170000,360000,34129971.20537519,3412.9971205375186,6.667813805802516,6946,16918,32.31870205618907,7
150000,460000,34082531.34878163,3408.253134878163,6.662907665522501,6940,16924,275.0115107779857,8
150000,500000,34057917.03479114,3405.791703479114,6.518626716722945,6894,16970,0.0,9
120000,420000,34016745.1904087,3401.67451904087,6.419469211999603,8020,15844,87.13399595557712,10
200000,340000,33999889.717520185,3399.988971752018,6.596850543808259,6750,17114,0.0,6
160000,340000,33888680.23786489,3388.868023786489,6.297927393987711,7527,16337,0.0,7
120000,380000,33860649.07188394,3386.064907188394,6.3153881726076495,8321,15543,0.0,10
190000,300000,33859448.69462995,3385.9448694629955,6.421102274747923,7152,16712,253.81769347412046,6
150000,320000,33857173.62852197,3385.717362852197,6.4360439683379065,7735,16129,175.72062940627802,8
150000,440000,33843106.3497239,3384.31063497239,6.645420893088112,7001,16863,15.124811937334016,8
190000,340000,33803830.98796892,3380.383098796892,6.612078719060027,6838,17026,316.25190891255625,6
140000,320000,33803126.89167146,3380.3126891671454,6.445877552321574,8066,15798,12.726135719334707,9
170000,340000,33770668.02922421,3377.066802922421,6.6415618598544865,7055,16809,97.66168043238577,7
