ticker,last_close,adv_rs_cr
AADHARHFC,496.45,16.31
AARTIDRUGS,373.2,5.04
AARTIIND,440.85,41.92
AARTIPHARM,697.75,13.39
AAVAS,1347.9,25.63
ABB,7029.5,249.71
ABBOTINDIA,25785.0,25.8
ABCAPITAL,340.4,145.69
ABDL,573.8,33.07
ABFRL,64.11,47.53
ABREL,1420.4,56.91
ABSLAMC,1068.25,35.29
ACC,1432.2,38.79
ACCELYA,1199.7,1.86
ACE,917.05,27.44
ACI,606.65,10.25
ACUTAAS,2361.7,154.19
ADANIENSOL,1259.8,303.93
ADANIENT,2218.3,523.46
ADANIGREEN,1127.3,486.77
ADANIPORTS,1573.4,518.23
ADANIPOWER,198.5,845.4
ADFFOODS,226.94,6.19
ADOR,1002.35,3.34
ADSL,122.17,2.76
ADVENZYMES,307.4,4.27
AEGISLOG,709.3,108.06
AEROFLEX,311.23,65.19
AETHER,1179.8,57.39
AFFLE,1468.2,54.82
AGARIND,468.4,4.57
AGI,584.95,13.7
AHLUCONT,834.05,8.1
AIAENG,3961.5,38.33
AIIL,460.05,32.77
AJANTPHARM,2790.2,29.09
AJMERA,124.46,6.52
AKUMS,545.75,10.03
AKZOINDIA,2980.7,10.87
ALANKIT,9.49,0.34
ALEMBICLTD,91.45,2.69
ALKEM,5582.0,67.21
ALKYLAMINE,1437.5,30.62
ALLCARGO,9.56,7.26
ALLDIGI,854.55,0.85
ALOKINDS,14.29,11.26
AMBIKCO,1439.9,1.24
AMBUJACEM,459.0,153.77
AMRUTANJAN,547.3,1.57
ANANDRATHI,3689.8,111.98
ANANTRAJ,513.4,107.17
ANDHRAPAP,67.64,2.36
ANDHRSUGAR,86.9,3.82
ANGELONE,322.47,409.59
ANTELOPUS,615.8,18.75
ANUP,2022.3,10.18
ANURAS,1288.0,22.65
APARINDS,11482.0,136.86
APEX,466.85,46.85
APLAPOLLO,2105.7,132.83
APLLTD,784.75,8.95
APOLLO,282.9,271.75
APOLLOHOSP,7699.0,336.88
APOLLOPIPE,466.8,44.44
APOLLOTYRE,445.4,36.65
APTECHT,92.22,2.11
APTUS,246.37,72.07
ARE&M,778.55,42.67
ARIHANTCAP,72.28,2.52
ARIHANTSUP,258.27,1.63
ARKADE,117.05,7.8
ARMANFIN,1550.4,6.33
ARVIND,386.75,13.34
ARVINDFASN,472.65,10.42
ASAHIINDIA,851.25,67.17
ASAL,473.2,0.86
ASALCBR,904.75,5.16
ASHAPURMIN,617.3,47.25
ASHIANA,336.45,5.95
ASHOKA,138.82,23.2
ASHOKLEY,174.78,527.83
ASIANENE,304.99,4.99
ASIANPAINT,2464.0,344.94
ASKAUTOLTD,436.8,11.63
ATGL,632.9,416.2
ATL,26.15,0.8
ATUL,6600.0,17.1
ATULAUTO,466.8,39.69
AUBANK,990.6,253.59
AURIONPRO,922.6,15.81
AUROPHARMA,1386.0,225.9
AUTOAXLES,1881.9,2.28
AVADHSUGAR,478.5,7.47
AVALON,1119.3,20.78
AVANTEL,160.3,36.54
AVANTIFEED,1473.3,157.08
AVTNPL,67.03,0.41
AWFIS,362.36,21.96
AWHCL,516.4,41.36
