"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","filled_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","entry_order_id","target_order_id","sl_order_id","close_order_id","quality_score"
"LT-8b26e830-103050","8b26e830f26308de","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:30:50+0530","2026-03-13 11:28:53+0530","HEROMOTOCO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","5209.46","5192.5","5232.0","5231.5","5151.0","SL","-39.5","-0.7607","260313170555067","260313170555100","260313170555103","","0.873"
"LT-31a33ddb-103058","31a33ddb57186a43","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:30:58+0530","2026-03-13 11:55:52+0530","IPL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","143.55","143.05","141.9","144.13","141.9","TARGET","1.15","0.8039","260313170555639","260313170555648","260313170555655","","0.4922"
"LT-da329afd-103104","da329afde74d3d51","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:31:04+0530","2026-03-13 13:41:37+0530","KINGFA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","4028.09","4025.1","4054.0","4055.3","3992.9","SL","-28.9","-0.718","260313170556053","260313170556061","260313170556070","","0.4526"
"LT-fdebb763-103119","fdebb7632daf721d","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:31:19+0530","2026-03-13 11:28:43+0530","NYKAA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","239.0","238.9","240.7","240.7","237.0","SL","-1.8","-0.7535","260313170557017","260313170557025","260313170557033","","0.7528"
"LT-5fc7fbfd-104555","5fc7fbfdfb0820aa","2026-03-13 10:45:00+05:30","2026-03-13 10:45:00+05:30","2026-03-13 10:45:55+0530","2026-03-13 11:29:05+0530","IDBI","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1","94.22","94.2","94.92","94.91","93.45","SL","-0.72","-0.7643","260313170612789","260313170612806","260313170612809","","0.5416"
"LT-7e4f9130-104717","7e4f9130271d14bb","2026-03-13 10:45:00+05:30","2026-03-13 10:45:00+05:30","2026-03-13 10:47:17+0530","2026-03-13 11:28:34+0530","CANBK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","135.62","135.61","136.65","136.63","134.53","SL","-1.04","-0.7669","260313170616866","260313170616871","260313170616872","","0.4787"
"LT-0e209050-113210","0e209050dd760231","2026-03-13 11:30:00+05:30","2026-03-13 11:30:00+05:30","2026-03-13 11:32:10+0530","2026-03-13 12:27:06+0530","PFS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","27.84","27.88","27.66","28.09","27.66","TARGET","0.22","0.7891","260313170771777","260313170771797","260313170771807","","0.5131"
"LT-18045bb8-121657","18045bb8f8b59aee","2026-03-13 12:15:00+05:30","2026-03-13 12:15:00+05:30","2026-03-13 12:16:57+0530","2026-03-13 12:38:06+0530","UNOMINDA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1022.2","1022.0","1013.8","1029.7","1013.8","TARGET","8.2","0.8023","260313170914201","260313170914209","260313170914214","","0.6843"
"LT-ea94b0bd-123035","ea94b0bd8d7b5e46","2026-03-13 12:30:00+05:30","2026-03-13 12:30:00+05:30","2026-03-13 12:30:35+0530","2026-03-13 13:58:05+0530","EXIDEIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","300.4","300.2","297.8","302.45","297.8","TARGET","2.4","0.7995","260313170968466","260313170968480","260313170968486","","0.4703"
"LT-78564dca-123044","78564dcab39a50e0","2026-03-13 12:30:00+05:30","2026-03-13 12:30:00+05:30","2026-03-13 12:30:44+0530","2026-03-13 12:52:40+0530","GPTHEALTH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","122.46","122.46","123.48","123.38","121.48","SL","-1.02","-0.8329","260313170968908","260313170968927","260313170968945","","0.601"
"LT-3ba3f8c4-123158","3ba3f8c45d8bd103","2026-03-13 12:30:00+05:30","2026-03-13 12:30:00+05:30","2026-03-13 12:31:58+0530","2026-03-13 12:39:05+0530","YASHO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1287.8","1287.0","1300.3","1296.7","1276.7","SL","-13.3","-1.0334","260313170976281","260313170976319","260313170976329","","0.7229"
"LT-4106afad-124642","4106afadb4172b4c","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:46:42+0530","2026-03-13 12:48:07+0530","SAPPHIRE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","156.76","156.82","158.0","158.0","155.57","SL","-1.18","-0.7525","260313171045174","260313171045187","260313171045196","","0.6908"
"LT-5b487aef-124700","5b487aefbe010c99","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:47:00+0530","2026-03-13 13:41:16+0530","UDS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","142.92","142.91","143.83","143.98","141.77","SL","-0.92","-0.6438","260313171046571","260313171046607","260313171046630","","0.8558"
"LT-d8de488a-124700","d8de488ae0e00b88","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:47:00+0530","2026-03-13 13:26:29+0530","UTTAMSUGAR","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","191.01","191.07","194.78","192.5","189.54","SL","-3.71","-1.9417","260313171046582","260313171046634","260313171046638","","0.6081"
"LT-6daba951-124709","6daba95155917b54","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:47:09+0530","2026-03-13 13:01:02+0530","ABDL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","447.9","448.0","444.4","451.35","444.4","TARGET","3.6","0.8036","260313171047359","260313171047375","260313171047381","","0.6848"
"LT-8ad6d56d-124709","8ad6d56db2887dc3","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:47:09+0530","2026-03-13 14:59:06+0530","ADVENZYMES","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","278.7","278.6","276.35","280.7","276.35","TARGET","2.25","0.8076","260313171047361","260313171047382","260313171047389","","0.86"
"LT-675c1315-124712","675c1315e6197efd","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:47:12+0530","2026-03-13 14:04:46+0530","ANANTRAJ","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","454.55","454.2","450.55","457.6","450.55","TARGET","3.65","0.8036","260313171047570","260313171047580","260313171047585","","0.7131"
"LT-dcc8286d-124716","dcc8286d6e114ab4","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:47:16+0530","2026-03-13 13:59:59+0530","ATUL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","6049.5","6049.5","6001.0","6095.0","6001.0","TARGET","48.5","0.8017","260313171047828","260313171047846","260313171047852","","0.7396"
"LT-141b3747-124722-SKIP","141b37471185e8ca","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:47:22+0530","2026-03-13 12:47:22+0530","BLS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","245.2","0.0","245.2","247.04","243.24","ENTRY_SKIPPED_RISK_LIMIT","0.0","0.0","","","","","0.6097"
"LT-d8526267-130039","d85262679cad8a4e","2026-03-13 13:00:00+05:30","2026-03-13 13:00:00+05:30","2026-03-13 13:00:39+0530","2026-03-13 13:53:43+0530","GABRIEL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","839.85","839.85","833.15","846.15","833.15","TARGET","6.7","0.7978","260313171093765","260313171093778","260313171093783","","0.6779"
