"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","filled_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","entry_order_id","target_order_id","sl_order_id","close_order_id","quality_score"
"LT-141e5586-103046","141e55869ed6702e","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:30:46+0530","2026-03-16 10:34:22+0530","FINOPB","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","148.72","148.96","147.62","149.97","147.62","TARGET","1.34","0.8996","260316170608754","260316170608774","260316170608785","","0.9355"
"LT-4175c529-103049","4175c529aff1f3ed","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:30:49+0530","2026-03-16 11:17:44+0530","GENUSPOWER","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","237.0","236.75","238.4","238.35","234.6","SL","-1.65","-0.6969","260316170609193","260316170609214","260316170609220","","0.6965"
"LT-e5d7188f-103055","e5d7188f362bb471","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:30:55+0530","2026-03-16 11:15:57+0530","GODFRYPHLP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1981.6","1979.6","1993.9","1993.1","1961.8","SL","-14.3","-0.7224","260316170609674","260316170609688","260316170609697","","0.7392"
"LT-9c0352a4-103058","9c0352a486bc950f","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:30:58+0530","2026-03-16 10:31:04+0530","GPTINFRA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","99.75","99.7","100.8","100.38","98.8","SL","-1.1","-1.1033","260316170609943","260316170609964","260316170609971","","0.4514"
"LT-e524ed23-103109","e524ed23f2fdfcc9","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:10+0530","2026-03-16 10:52:39+0530","HIKAL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","168.34","168.08","166.56","169.22","166.56","TARGET","1.52","0.9043","260316170611343","260316170611366","260316170611374","","0.8628"
"LT-2a860971-103109","2a86097157d20300","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:10+0530","2026-03-16 11:16:15+0530","HINDCOPPER","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","476.75","476.5","479.75","479.75","472.2","SL","-3.25","-0.6821","260316170611353","260316170611378","260316170611384","","0.8287"
"LT-3559ef5e-103113","3559ef5e0cd2c2df","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:13+0530","2026-03-16 10:32:11+0530","HPL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","277.05","276.3","278.25","278.2","273.8","SL","-1.95","-0.7058","260316170611719","260316170611730","260316170611737","","0.6209"
"LT-7d11dd79-103121","7d11dd79ced696c6","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:21+0530","2026-03-16 12:33:16+0530","IOC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","149.36","149.32","147.98","150.34","147.98","TARGET","1.34","0.8974","260316170612458","260316170612471","260316170612475","","0.7451"
"LT-61d5c4f6-103126","61d5c4f672276c69","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:26+0530","2026-03-16 11:32:39+0530","JSL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","679.6","679.4","684.0","684.0","673.3","SL","-4.6","-0.6771","260316170612964","260316170612978","260316170612985","","0.6178"
"LT-5a17a086-103126","5a17a086952efe66","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:26+0530","2026-03-16 10:57:05+0530","JSWINFRA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","248.6","248.5","246.25","250.2","246.25","TARGET","2.25","0.9054","260316170612965","260316170612990","260316170612999","","0.6058"
