"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-d43d22f6-103513","d43d22f6c390eae6","2026-02-24 10:30:00+05:30","2026-02-24 10:30:00+05:30","2026-02-24 10:35:13+0530","2026-02-24 10:37:59+0530","YATRA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1937","128.03","127.5","130.02","127.5","TARGET","1026.61","0.414","0.7246","0.0","1.0"
"PT-cae687d3-123515","cae687d32c85ef39","2026-02-24 12:15:00+05:30","2026-02-24 12:15:00+05:30","2026-02-24 12:35:15+0530","2026-02-24 12:46:51+0530","LTIM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","54","4542.23","4521.17","4610.41","4521.17","TARGET","1137.24","0.4636","0.8175","0.0","1.0"
"PT-e1020e65-123515","e1020e65e099bfed","2026-02-24 12:15:00+05:30","2026-02-24 12:15:00+05:30","2026-02-24 12:35:15+0530","2026-02-24 12:52:28+0530","HCLTECH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","185","1339.33","1332.94","1359.25","1332.94","TARGET","1182.15","0.4771","0.9154","0.0","1.0"
"PT-c0c764c2-123515","c0c764c22a8fb246","2026-02-24 12:30:00+05:30","2026-02-24 12:30:00+05:30","2026-02-24 12:35:15+0530","2026-02-24 13:04:31+0530","MAYURUNIQ","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","459","539.73","537.46","548.07","537.46","TARGET","1041.93","0.4206","0.9111","0.0","1.0"
"PT-b80f6bd0-123515","b80f6bd0d2535aaf","2026-02-24 12:15:00+05:30","2026-02-24 12:15:00+05:30","2026-02-24 12:35:15+0530","2026-02-24 13:05:21+0530","RPSGVENT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","370","673.96","673.96","679.93","666.77","NO_LTP_SIMULATED","0.0","0.0","0.8602","0.0","1.0"
"PT-4b7c693b-133523","4b7c693bddb1952c","2026-02-24 13:15:00+05:30","2026-02-24 13:15:00+05:30","2026-02-24 13:35:23+0530","2026-02-24 14:07:57+0530","PHOENIXLTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","147","1676.96","1670.18","1703.14","1670.18","TARGET","996.66","0.4043","0.4943","0.0","1.0"
"RESTORE-6da4a2aa","6da4a2aae7c8bb29","2026-02-24 10:15:00+05:30","2026-02-24 10:15:00+05:30","2026-02-24 10:15:00+05:30","2026-02-24 14:37:27+0530","CIGNITITEC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","205","1215.55","1201.56","1225.28","1201.56","TARGET","2867.95","1.1509","0.8552","0.0","1.0"
"RESTORE-d07aa5ee","d07aa5eef1e442aa","2026-02-24 13:00:00+05:30","2026-02-24 13:00:00+05:30","2026-02-24 13:00:00+05:30","2026-02-24 14:37:36+0530","SBICARD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","328","761.47","767.56","767.56","752.71","SL","-1997.52","-0.7998","0.6558","0.0","1.0"
"RESTORE-3ab0b8f4","3ab0b8f432e87069","2026-02-24 11:00:00+05:30","2026-02-24 11:00:00+05:30","2026-02-24 11:00:00+05:30","2026-02-24 13:07:53+0530","GMMPFAUDLR","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","263","949.34","938.41","956.93","938.41","TARGET","2874.59","1.1513","0.705","0.0","1.0"
"RESTORE-d9ecf59e","d9ecf59eade48756","2026-02-24 11:45:00+05:30","2026-02-24 11:45:00+05:30","2026-02-24 11:45:00+05:30","2026-02-24 12:47:55+0530","INDIANHUME","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","713","350.4","346.37","353.21","346.37","TARGET","2873.39","1.1501","0.6878","0.0","1.0"
"RESTORE-641723eb","641723eb8175a715","2026-02-24 14:30:00+05:30","2026-02-24 14:30:00+05:30","2026-02-24 14:30:00+05:30","2026-02-24 15:20:03+0530","ECLERX","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","74","3343.86","3344.0","3370.62","3305.38","EOD_CLOSE","-10.36","-0.0042","0.96","0.0","1.0"
"RESTORE-2202bf7d","2202bf7da68b9895","2026-02-24 12:30:00+05:30","2026-02-24 12:30:00+05:30","2026-02-24 12:30:00+05:30","2026-02-24 15:20:03+0530","LXCHEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1895","131.8","132.28","132.86","130.29","EOD_CLOSE","-909.6","-0.3642","0.8319","0.0","1.0"
"RESTORE-dbd5999e","dbd5999ee2dbb45a","2026-02-24 13:00:00+05:30","2026-02-24 13:00:00+05:30","2026-02-24 13:00:00+05:30","2026-02-24 15:20:03+0530","CAMS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","353","706.06","710.9","711.71","697.93","EOD_CLOSE","-1708.52","-0.6855","0.7034","0.0","1.0"
"RESTORE-be8f88d9","be8f88d98ede49e2","2026-02-24 13:00:00+05:30","2026-02-24 13:00:00+05:30","2026-02-24 13:00:00+05:30","2026-02-24 15:20:03+0530","CELLO","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","582","428.7","428.0","432.13","423.77","EOD_CLOSE","407.4","0.1633","0.5723","0.0","1.0"
"RESTORE-f00db432","f00db4328bc764df","2026-02-24 12:45:00+05:30","2026-02-24 12:45:00+05:30","2026-02-24 12:45:00+05:30","2026-02-24 15:20:03+0530","TATATECH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","435","574.15","572.55","578.74","567.54","EOD_CLOSE","696.0","0.2787","0.8704","0.0","1.0"
