"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-e9b3b5d2-103120","e9b3b5d2652677b6","2026-03-02 10:30:00+05:30","2026-03-02 10:30:00+05:30","2026-03-02 10:31:20+0530","2026-03-02 10:31:20+0530","ROHLTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","715","349.33","349.33","352.12","345.31","NO_LTP_SIMULATED","0.0","0.0","0.3949","0.0","1.0"
"PT-1704dabb-104552","1704dabb16acb40b","2026-03-02 10:45:00+05:30","2026-03-02 10:45:00+05:30","2026-03-02 10:45:52+0530","2026-03-02 10:45:52+0530","JTLIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","4181","59.76","59.76","60.24","59.07","NO_LTP_SIMULATED","0.0","0.0","0.449","0.0","1.0"
"PT-62d78161-110034","62d78161ce184964","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 11:00:34+0530","2026-03-02 11:00:34+0530","GHCL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","534","467.92","467.92","471.66","462.53","NO_LTP_SIMULATED","0.0","0.0","0.8824","0.0","1.0"
"PT-26e28f6d-110034","26e28f6d79de9ec8","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 11:00:34+0530","2026-03-02 11:00:34+0530","GMRAIRPORT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2579","96.88","96.88","97.66","95.77","NO_LTP_SIMULATED","0.0","0.0","0.5825","0.0","1.0"
"PT-d62938b7-110106","d62938b7ce40410a","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 11:01:06+0530","2026-03-02 11:01:06+0530","MOTHERSON","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1941","128.69","128.69","129.72","127.2","NO_LTP_SIMULATED","0.0","0.0","0.7656","0.0","1.0"
"PT-1704dabb-110323","1704dabb16acb40b","2026-03-02 10:45:00+05:30","2026-03-02 10:45:00+05:30","2026-03-02 11:03:23+0530","2026-03-02 11:38:14+0530","JTLIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","4181","59.52","58.8","59.97","58.8","TARGET","3010.32","1.2097","0.449","0.0","1.0"
"PT-d62938b7-110323","d62938b7ce40410a","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 11:03:23+0530","2026-03-02 12:11:24+0530","MOTHERSON","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1941","128.78","127.23","129.75","127.23","TARGET","3008.55","1.2036","0.7656","0.0","1.0"
"PT-e9b3b5d2-110323","e9b3b5d2652677b6","2026-03-02 10:30:00+05:30","2026-03-02 10:30:00+05:30","2026-03-02 11:03:23+0530","2026-03-02 12:19:27+0530","ROHLTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","715","348.83","344.65","351.44","344.65","TARGET","2988.7","1.1983","0.3949","0.0","1.0"
"PT-26e28f6d-110323","26e28f6d79de9ec8","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 11:03:23+0530","2026-03-02 12:26:02+0530","GMRAIRPORT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2579","96.93","95.77","97.66","95.77","TARGET","2991.64","1.1967","0.5825","0.0","1.0"
"PT-9960d4c6-113035","9960d4c6dcc4e9f6","2026-03-02 11:30:00+05:30","2026-03-02 11:30:00+05:30","2026-03-02 11:30:35+0530","2026-03-02 12:43:39+0530","GRAPHITE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","358","697.95","703.19","703.19","689.57","SL","-1875.92","-0.7508","0.5895","0.0","1.0"
