"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-3559ef5e-103113","3559ef5e0cd2c2df","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:13+0530","2026-03-16 10:34:10+0530","HPL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","902","276.91","278.79","278.79","274.42","SL","-1695.76","-0.6789","0.6209","0.0","1.0"
"PT-141e5586-103046","141e55869ed6702e","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:30:46+0530","2026-03-16 10:34:22+0530","FINOPB","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1681","149.27","147.93","150.28","147.93","TARGET","2252.54","0.8977","0.9355","0.0","1.0"
"PT-9c0352a4-103058","9c0352a486bc950f","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:30:58+0530","2026-03-16 10:38:25+0530","GPTINFRA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2506","99.7","100.38","100.38","98.8","SL","-1704.08","-0.682","0.4514","0.0","1.0"
"PT-08acb4b3-103240","08acb4b31bcec88a","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:40+0530","2026-03-16 10:45:36+0530","ADSL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2575","97.0","96.13","97.66","96.13","TARGET","2240.25","0.8969","0.7835","0.0","1.0"
"PT-f00d77c4-103246","f00d77c4e5da56c5","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:46+0530","2026-03-16 10:46:14+0530","ARIHANTCAP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","3770","66.28","65.68","66.73","65.68","TARGET","2262.0","0.9053","0.7384","0.0","1.0"
"PT-e524ed23-103109","e524ed23f2fdfcc9","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:09+0530","2026-03-16 10:52:39+0530","HIKAL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1485","168.26","166.74","169.4","166.74","TARGET","2257.2","0.9034","0.8628","0.0","1.0"
"PT-fd6309f2-104751","fd6309f2ab87ff96","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:51+0530","2026-03-16 10:52:59+0530","CIEINDIA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","582","429.04","431.96","431.96","425.18","SL","-1699.44","-0.6806","0.9376","0.0","1.0"
"PT-e515fbbc-103142","e515fbbc08fea964","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:42+0530","2026-03-16 10:53:13+0530","MOREPENLAB","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","6704","37.27","36.93","37.52","36.93","TARGET","2279.36","0.9123","0.7668","0.0","1.0"
"PT-f102925c-103158","f102925c59321676","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:58+0530","2026-03-16 10:54:02+0530","PPLPHARMA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1828","136.5","135.27","137.43","135.27","TARGET","2248.44","0.9011","0.8791","0.0","1.0"
"PT-c0b349c4-103211","c0b349c44c069e31","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:11+0530","2026-03-16 10:55:53+0530","SERVOTECH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","3802","65.72","65.13","66.17","65.13","TARGET","2243.18","0.8977","0.4266","0.0","1.0"
