"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"6da4a2aae7c8bb29","2026-02-24 10:15:00+05:30","2026-02-24 10:35:11+0530","2026-02-24 10:35:11+0530","2026-02-24 10:35:11+0530","CIGNITITEC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1216.16","1225.28","1201.56","0.8552","0.0","15.58","46.5","205","2026-02-24 10:15:00+05:30","2026-02-24 10:15:00+05:30"
"d43d22f6c390eae6","2026-02-24 10:30:00+05:30","2026-02-24 10:35:11+0530","2026-02-24 10:35:11+0530","2026-02-24 10:35:11+0530","YATRA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","129.05","130.02","127.5","0.7246","0.0","9.7","34.31","1937","2026-02-24 10:30:00+05:30","2026-02-24 10:30:00+05:30"
"3ab0b8f432e87069","2026-02-24 11:00:00+05:30","2026-02-24 11:05:16+0530","2026-02-24 11:05:16+0530","2026-02-24 11:05:16+0530","GMMPFAUDLR","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","949.81","956.93","938.41","0.705","0.0","19.66","33.0","263","2026-02-24 11:00:00+05:30","2026-02-24 11:00:00+05:30"
"d9ecf59eade48756","2026-02-24 11:45:00+05:30","2026-02-24 12:05:32+0530","2026-02-24 12:05:32+0530","2026-02-24 12:05:32+0530","INDIANHUME","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","350.58","353.21","346.37","0.6878","0.0","28.98","45.23","713","2026-02-24 11:45:00+05:30","2026-02-24 11:45:00+05:30"
"e1020e65e099bfed","2026-02-24 12:15:00+05:30","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","HCLTECH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1349.13","1359.25","1332.94","0.9154","0.0","14.01","51.05","185","2026-02-24 12:15:00+05:30","2026-02-24 12:15:00+05:30"
"cae687d32c85ef39","2026-02-24 12:15:00+05:30","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","LTIM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","4576.08","4610.41","4521.17","0.8175","0.0","16.44","40.5","54","2026-02-24 12:15:00+05:30","2026-02-24 12:15:00+05:30"
"2202bf7da68b9895","2026-02-24 12:30:00+05:30","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","LXCHEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","131.87","132.86","130.29","0.8319","0.0","18.91","41.46","1895","2026-02-24 12:30:00+05:30","2026-02-24 12:30:00+05:30"
"c0c764c22a8fb246","2026-02-24 12:30:00+05:30","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","MAYURUNIQ","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","543.99","548.07","537.46","0.9111","0.0","25.61","46.74","459","2026-02-24 12:30:00+05:30","2026-02-24 12:30:00+05:30"
"b80f6bd0d2535aaf","2026-02-24 12:15:00+05:30","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","2026-02-24 12:35:13+0530","RPSGVENT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","674.87","679.93","666.77","0.8602","0.0","24.57","60.1","370","2026-02-24 12:15:00+05:30","2026-02-24 12:15:00+05:30"
"f00db4328bc764df","2026-02-24 12:45:00+05:30","2026-02-24 12:50:08+0530","2026-02-24 12:50:08+0530","2026-02-24 12:50:08+0530","TATATECH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","574.44","578.74","567.54","0.8704","0.0","18.97","44.03","435","2026-02-24 12:45:00+05:30","2026-02-24 12:45:00+05:30"
"dbd5999ee2dbb45a","2026-02-24 13:00:00+05:30","2026-02-24 13:05:15+0530","2026-02-24 13:05:15+0530","2026-02-24 13:05:15+0530","CAMS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","706.41","711.71","697.93","0.7034","0.0","28.67","37.41","353","2026-02-24 13:00:00+05:30","2026-02-24 13:00:00+05:30"
"be8f88d98ede49e2","2026-02-24 13:00:00+05:30","2026-02-24 13:05:15+0530","2026-02-24 13:05:15+0530","2026-02-24 13:05:15+0530","CELLO","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","428.91","432.13","423.77","0.5723","0.0","24.91","38.27","582","2026-02-24 13:00:00+05:30","2026-02-24 13:00:00+05:30"
"d07aa5eef1e442aa","2026-02-24 13:00:00+05:30","2026-02-24 13:05:15+0530","2026-02-24 13:05:15+0530","2026-02-24 13:05:15+0530","SBICARD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","761.85","767.56","752.71","0.6558","0.0","24.69","32.25","328","2026-02-24 13:00:00+05:30","2026-02-24 13:00:00+05:30"
"4b7c693bddb1952c","2026-02-24 13:15:00+05:30","2026-02-24 13:35:21+0530","2026-02-24 13:35:21+0530","2026-02-24 13:35:21+0530","PHOENIXLTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1690.46","1703.14","1670.18","0.4943","0.0","36.34","27.19","147","2026-02-24 13:15:00+05:30","2026-02-24 13:15:00+05:30"
