"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"8b26e830f26308de","2026-03-13 10:30:00+05:30","2026-03-13 10:30:47+0530","2026-03-13 10:30:47+0530","2026-03-13 10:30:47+0530","HEROMOTOCO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","5209.46","5244.88","5162.57","0.873","0.006884","17.61","45.3","47","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30"
"31a33ddb57186a43","2026-03-13 10:30:00+05:30","2026-03-13 10:30:56+0530","2026-03-13 10:30:56+0530","2026-03-13 10:30:56+0530","IPL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","143.55","144.53","142.26","0.4922","0.00865","26.59","27.18","1741","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30"
"da329afde74d3d51","2026-03-13 10:30:00+05:30","2026-03-13 10:31:03+0530","2026-03-13 10:31:03+0530","2026-03-13 10:31:03+0530","KINGFA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","4028.09","4055.49","3991.84","0.4526","0.005117","29.98","26.47","62","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30"
"0594129153714283","2026-03-13 10:30:00+05:30","2026-03-13 10:31:06+0530","2026-03-13 10:31:06+0530","2026-03-13 10:31:06+0530","LIKHITHA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","144.2","145.18","142.9","0.3643","0.008621","26.46","20.04","1733","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30"
"fdebb7632daf721d","2026-03-13 10:30:00+05:30","2026-03-13 10:31:17+0530","2026-03-13 10:31:17+0530","2026-03-13 10:31:17+0530","NYKAA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","239.0","240.63","236.85","0.7528","0.006185","22.22","38.57","1046","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30"
"8b4e3e2c679f327f","2026-03-13 10:30:00+05:30","2026-03-13 10:31:31+0530","2026-03-13 10:31:31+0530","2026-03-13 10:31:31+0530","SANOFI","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","3569.29","3593.56","3537.16","0.8238","0.002574","25.36","48.09","70","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30"
"c3a555a4e3943e7b","2026-03-13 10:30:00+05:30","2026-03-13 10:31:37+0530","2026-03-13 10:31:37+0530","2026-03-13 10:31:37+0530","SOUTHBANK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","38.2","38.46","37.86","0.3852","0.005744","23.78","23.68","6544","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30"
"bfa2817da1d423e4","2026-03-13 10:30:00+05:30","2026-03-13 10:31:49+0530","2026-03-13 10:31:49+0530","2026-03-13 10:31:49+0530","WCIL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","90.17","90.78","89.36","0.7034","0.010484","16.71","35.52","2772","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30"
"67ef26af5e8b47ac","2026-03-13 10:30:00+05:30","2026-03-13 10:32:08+0530","2026-03-13 10:32:08+0530","2026-03-13 10:32:08+0530","BODALCHEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","43.81","44.11","43.42","0.2624","0.005715","28.1","20.46","5706","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30"
"e48644f0c26646cc","2026-03-13 10:45:00+05:30","2026-03-13 10:46:36+0530","2026-03-13 10:46:36+0530","2026-03-13 10:46:36+0530","SHYAMMETL","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","767.55","772.77","760.64","0.4251","0.0048","28.93","24.12","325","2026-03-13 10:45:00+05:30","2026-03-13 10:45:00+05:30"
"29eb77e849a08913","2026-03-13 10:45:00+05:30","2026-03-13 10:46:48+0530","2026-03-13 10:46:48+0530","2026-03-13 10:46:48+0530","UNIONBANK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","174.97","176.16","173.4","0.6353","0.00796","28.78","28.35","1428","2026-03-13 10:45:00+05:30","2026-03-13 10:45:00+05:30"
