trade_date,entries_count,net_profit_rs,net_loss_rs,net_pnl_rs,gross_profit_rs,gross_loss_rs,gross_pnl_rs,cost_impact_rs_gross_minus_net,invested_without_leverage_rs,invested_with_leverage_rs,avg_effective_leverage,net_pnl_pct_on_invested_without_lev,net_pnl_pct_on_invested_with_lev,gross_pnl_pct_on_invested_without_lev,gross_pnl_pct_on_invested_with_lev
2025-08-26,7.0,49323.11,-2838.02,46485.09,52432.1,-2415.91,50016.18,3531.0992144706106,400000.0,2000000.0,5.0,11.6213,2.3243,12.504,2.5008
2025-08-28,7.0,24425.27,-2854.01,21571.27,28745.8,-2429.52,26316.28,4745.014871418392,500000.0,2500000.0,5.0,4.3143,0.8629,5.2633,1.0527
2025-08-29,1.0,6294.49,0.0,6294.49,6647.54,0.0,6647.54,353.0460849706742,50000.0,250000.0,5.0,12.589,2.5178,13.2951,2.659
2025-09-01,5.0,8479.34,-11790.75,-3311.41,10898.63,-9750.45,1148.18,4459.596382844809,450000.0,2250000.0,5.0,-0.7359,-0.1472,0.2552,0.051
2025-09-02,11.0,77138.13,-8792.72,68345.41,85290.32,-7396.45,77893.87,9548.45617929114,950000.0,4750000.0,5.0,7.1943,1.4389,8.1994,1.6399
2025-09-03,9.0,109142.87,-2542.73,106600.14,116930.44,-2164.54,114765.9,8165.754357790967,800000.0,4000000.0,5.0,13.325,2.665,14.3457,2.8691
2025-09-04,3.0,9049.45,0.0,9049.45,10887.76,0.0,10887.76,1838.3083336559557,200000.0,1000000.0,5.0,4.5247,0.9049,5.4439,1.0888
2025-09-05,10.0,32427.62,-15898.96,16528.66,35677.66,-13228.86,22448.8,5920.140527227486,650000.0,3250000.0,5.0,2.5429,0.5086,3.4537,0.6907
2025-09-08,8.0,4592.93,-15576.1,-10983.17,6430.25,-12986.2,-6555.95,4427.221379897363,500000.0,2500000.0,5.0,-2.1966,-0.4393,-1.3112,-0.2622
2025-09-09,5.0,24019.6,-3340.32,20679.28,26460.78,-2531.87,23928.91,3249.6314708950085,350000.0,1750000.0,5.0,5.9084,1.1817,6.8368,1.3674
2025-09-10,3.0,4679.04,-6943.79,-2264.75,6740.77,-5925.0,815.77,3080.5202466372502,300000.0,1500000.0,5.0,-0.7549,-0.151,0.2719,0.0544
2025-09-11,4.0,24505.56,0.0,24505.56,26736.14,0.0,26736.14,2230.575615138321,250000.0,1250000.0,5.0,9.8022,1.9604,10.6945,2.1389
2025-09-12,9.0,25158.64,-6943.79,18214.86,31496.7,-5925.0,25571.7,7356.846894628918,750000.0,3750000.0,5.0,2.4286,0.4857,3.4096,0.6819
2025-09-15,5.0,26836.76,-5586.65,21250.1,29361.83,-4755.73,24606.1,3355.999490117687,350000.0,1750000.0,5.0,6.0715,1.2143,7.0303,1.4061
2025-09-16,3.0,23751.29,0.0,23751.29,26865.65,0.0,26865.65,3114.3681669481157,300000.0,1500000.0,5.0,7.9171,1.5834,8.9552,1.791
2025-09-17,5.0,33626.28,0.0,33626.28,38156.97,0.0,38156.97,4530.694972024416,450000.0,2250000.0,5.0,7.4725,1.4945,8.4793,1.6959
2025-09-18,6.0,15115.77,-9675.08,5440.69,17981.38,-8250.06,9731.32,4290.632841288585,450000.0,2250000.0,5.0,1.209,0.2418,2.1625,0.4325
2025-09-19,6.0,29475.52,0.0,29475.52,35045.97,0.0,35045.97,5570.443456541521,550000.0,2750000.0,5.0,5.3592,1.0718,6.372,1.2744
2025-09-22,10.0,31494.68,-6037.82,25456.87,35333.52,-4537.12,30796.4,5339.5353051829115,600000.0,3000000.0,5.0,4.2428,0.8486,5.1327,1.0265
2025-09-23,8.0,10086.74,-2799.14,7287.6,12862.92,-2382.81,10480.11,3192.510960540927,400000.0,2000000.0,5.0,1.8219,0.3644,2.62,0.524
2025-09-24,7.0,32539.84,-2620.66,29919.18,36150.51,-2230.88,33919.63,4000.4491200396915,450000.0,2250000.0,5.0,6.6487,1.3297,7.5377,1.5075
2025-09-25,9.0,11357.28,0.0,11357.28,15112.22,0.0,15112.22,3754.9425400167565,450000.0,2250000.0,5.0,2.5238,0.5048,3.3583,0.6717
2025-09-26,21.0,36009.52,-285.64,35723.89,44324.36,0.0,44324.36,8600.475664676873,1050000.0,5250000.0,5.0,3.4023,0.6805,4.2214,0.8443
2025-09-29,6.0,3377.94,-5913.85,-2535.91,5081.03,-5034.26,46.77,2582.6780818308443,300000.0,1500000.0,5.0,-0.8453,-0.1691,0.0156,0.0031
2025-09-30,8.0,7145.51,-5430.31,1715.2,10251.78,-4622.64,5629.15,3913.9485333406965,450000.0,2250000.0,5.0,0.3812,0.0762,1.2509,0.2502
2025-10-01,1.0,0.0,-2745.04,-2745.04,0.0,-2336.76,-2336.76,408.2802178024158,50000.0,250000.0,5.0,-5.4901,-1.098,-4.6735,-0.9347
2025-10-03,10.0,54741.51,-2919.51,51822.0,63035.31,-2114.01,60921.3,9099.297168141304,900000.0,4500000.0,5.0,5.758,1.1516,6.769,1.3538
2025-10-06,4.0,19620.31,0.0,19620.31,23757.12,0.0,23757.12,4136.815851901178,400000.0,2000000.0,5.0,4.9051,0.981,5.9393,1.1879
2025-10-07,5.0,10840.38,0.0,10840.38,14106.49,0.0,14106.49,3266.1081642985846,350000.0,1750000.0,5.0,3.0973,0.6195,4.0304,0.8061
2025-10-08,4.0,53085.66,0.0,53085.66,55948.07,0.0,55948.07,2862.4132400783637,300000.0,1500000.0,5.0,17.6952,3.539,18.6494,3.7299
2025-10-09,2.0,7083.56,-3058.81,4024.75,8120.6,-2603.86,5516.74,1491.9868457474113,150000.0,750000.0,5.0,2.6832,0.5366,3.6778,0.7356
2025-10-10,2.0,4016.1,-3046.31,969.8,5049.15,-2022.45,3026.7,2056.906258657773,200000.0,1000000.0,5.0,0.4849,0.097,1.5134,0.3027
2025-10-13,7.0,3198.83,-6991.82,-3792.99,4345.46,-4730.36,-384.89,3408.097764014764,400000.0,2000000.0,5.0,-0.9482,-0.1896,-0.0962,-0.0192
2025-10-14,9.0,8655.68,-3862.53,4793.15,11109.77,-2729.75,8380.03,3586.875091628981,450000.0,2250000.0,5.0,1.0651,0.213,1.8622,0.3724
2025-10-15,7.0,45611.75,0.0,45611.75,51064.35,0.0,51064.35,5452.602288312082,550000.0,2750000.0,5.0,8.293,1.6586,9.2844,1.8569
2025-10-16,4.0,32807.11,-6943.79,25863.32,34644.14,-5925.0,28719.14,2855.82546789974,300000.0,1500000.0,5.0,8.6211,1.7242,9.573,1.9146
2025-10-17,5.0,3152.22,-2954.33,197.89,4794.34,-2514.92,2279.42,2081.525549320172,250000.0,1250000.0,5.0,0.0792,0.0158,0.9118,0.1824
2025-10-20,6.0,12996.62,-2674.16,10322.46,16209.95,-2276.42,13933.52,3611.0662171531985,400000.0,2000000.0,5.0,2.5806,0.5161,3.4834,0.6967
2025-10-23,3.0,4041.56,-2783.27,1258.29,6102.46,-2369.31,3733.16,2474.869670492956,250000.0,1250000.0,5.0,0.5033,0.1007,1.4933,0.2987
2025-10-24,11.0,40091.5,-3105.88,36985.63,46868.74,-1668.51,45200.23,8214.606257386346,850000.0,4250000.0,5.0,4.3513,0.8703,5.3177,1.0635
2025-10-27,7.0,20285.79,-2640.34,17645.46,24560.76,-2247.63,22313.14,4667.677887570833,500000.0,2500000.0,5.0,3.5291,0.7058,4.4626,0.8925
2025-10-28,8.0,5061.05,-8997.44,-3936.38,8048.06,-7525.73,522.33,4458.709479620369,500000.0,2500000.0,5.0,-0.7873,-0.1575,0.1045,0.0209
2025-10-29,8.0,14169.17,-2622.45,11546.72,20217.55,-2232.41,17985.14,6438.422084466843,650000.0,3250000.0,5.0,1.7764,0.3553,2.7669,0.5534
2025-10-30,9.0,41430.61,-16764.84,24665.77,44610.19,-13950.46,30659.73,5993.9543804630885,650000.0,3250000.0,5.0,3.7947,0.7589,4.7169,0.9434
2025-10-31,10.0,43709.85,-2853.43,40856.42,49872.17,-2429.03,47443.14,6586.720353428354,700000.0,3500000.0,5.0,5.8366,1.1673,6.7776,1.3555
2025-11-03,5.0,48090.24,-2324.82,45765.43,50976.27,-1979.04,48997.24,3231.8128206594192,350000.0,1750000.0,5.0,13.0758,2.6152,13.9992,2.7998
2025-11-04,13.0,44899.47,-239.34,44660.14,52318.65,0.0,52318.65,7658.507818165395,850000.0,4250000.0,5.0,5.2541,1.0508,6.1551,1.231
2025-11-06,26.0,39690.79,-5945.66,33745.13,49365.89,-5061.34,44304.56,10559.430121105346,1300000.0,6500000.0,5.0,2.5958,0.5192,3.408,0.6816
